101126082558067,BANKNIFTY 25 Aug 26 FUT,11,30,0.2,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:BANKNIFTY26AUGFUT,10,11,58067,BANKNIFTY,26009,-1.0,XX,101000000026009,None,0,0.0
101126092968390,BANKNIFTY 29 Sep 26 FUT,11,30,0.2,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:BANKNIFTY26SEPFUT,10,11,68390,BANKNIFTY,26009,-1.0,XX,101000000026009,None,0,0.0
101126102748699,BANKNIFTY 27 Oct 26 FUT,11,30,0.2,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:BANKNIFTY26OCTFUT,10,11,48699,BANKNIFTY,26009,-1.0,XX,101000000026009,None,0,0.0
101126082558070,FINNIFTY 25 Aug 26 FUT,11,60,0.1,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:FINNIFTY26AUGFUT,10,11,58070,FINNIFTY,26037,-1.0,XX,101000000026037,None,0,0.0
101126092968391,FINNIFTY 29 Sep 26 FUT,11,60,0.1,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:FINNIFTY26SEPFUT,10,11,68391,FINNIFTY,26037,-1.0,XX,101000000026037,None,0,0.0
101126102748702,FINNIFTY 27 Oct 26 FUT,11,60,0.1,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:FINNIFTY26OCTFUT,10,11,48702,FINNIFTY,26037,-1.0,XX,101000000026037,None,0,0.0
101126082558071,MIDCPNIFTY 25 Aug 26 FUT,11,120,0.05,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:MIDCPNIFTY26AUGFUT,10,11,58071,MIDCPNIFTY,26074,-1.0,XX,101000000026074,None,0,0.0
101126092968406,MIDCPNIFTY 29 Sep 26 FUT,11,120,0.05,,0915-1540|1815-1915:,2026-08-21,1790676600,NSE:MIDCPNIFTY26SEPFUT,10,11,68406,MIDCPNIFTY,26074,-1.0,XX,101000000026074,None,0,0.0
101126102748703,MIDCPNIFTY 27 Oct 26 FUT,11,120,0.05,,0915-1540|1815-1915:,2026-08-21,1793095800,NSE:MIDCPNIFTY26OCTFUT,10,11,48703,MIDCPNIFTY,26074,-1.0,XX,101000000026074,None,0,0.0
101126082558072,NIFTY 25 Aug 26 FUT,11,65,0.1,,0915-1540|1815-1915:,2026-08-21,1787652600,NSE:NIFTY26AUGFUT,10,11,58072,NIFTY,26000,-1.0,XX,101000000026000,None,0,0.0
